"person","age","networthb","time","industry"
"Sergei Galitsky",47,8.3,2015,"retail"
"Ricardo Salinas Pliego & family",58,8.3,2014,"retail, media"
"Pierre Omidyar",46,8.2,2014,"Ebay"
"Xavier Niel",46,8.2,2014,"internet, telecom"
"Roberto Irineu Marinho",67,8.2,2015,"media"
"Jose Roberto Marinho",59,8.2,2015,"media"
"Joao Roberto Marinho",61,8.2,2015,"media"
"Andrei Skoch",48,8.2,2014,"steel"
"Margarita Louis-Dreyfus",50,8.1,2014,"commodities"
"Pierre Omidyar",47,8,2015,"Ebay"
"Ricardo Salinas Pliego",59,8,2015,"retail, media"
"Pierre Castel & family",87,8,2014,"wine"
"Emmanuel Besnier",43,7.9,2014,"cheese"
"Dustin Moskovitz",30,7.9,2015,"Facebook"
"Jean-Claude Decaux & family",76,7.7,2014,"advertising"
"David Duffield",73,7.7,2014,"business software"
"Reinhold Wuerth",78,7.7,2014,"fasteners"
"August von Finck",84,7.7,2015,"investments"
"Blair Parry-Okeden",63,7.7,2014,"media"
"Jim Kennedy",66,7.7,2014,"media"
"Leslie Wexner",77,7.7,2015,"retail"
"R. Budi Hartono",73,7.6,2014,"banking, tobacco"
"Giorgio Armani",80,7.6,2015,"fashion"
"Tsai Wan-Tsai & family",84,7.6,2014,"finance"
"Thomas Frist, Jr.",76,7.6,2015,"health care"
"Johann Rupert & family",63,7.6,2014,"luxury goods"
"Jacques Servier",92,7.6,2014,"pharmaceuticals"
"Takemitsu Takizaki",69,7.6,2015,"sensors"
"John Malone",73,7.5,2014,"cable television"
"Jim Pattison",86,7.5,2015,"diversified"
"Leonard Lauder",80,7.5,2014,"Estee Lauder"
"Charles Johnson",81,7.5,2014,"money management"
"John Menard, Jr.",74,7.5,2014,"retail"
"Klaus Tschira",73,7.5,2014,"software"
"James Goodnight",71,7.5,2014,"software"
"James Goodnight",72,7.5,2015,"software"
"David Duffield",74,7.4,2015,"business software"
"Liu Qiangdong",40,7.4,2015,"e-commerce"
"Vincent Bollore",61,7.4,2014,"investments"
"Johann Rupert",64,7.4,2015,"luxury goods"
"Silvio Berlusconi",78,7.4,2015,"media"
"Edward Johnson, III.",84,7.4,2015,"money management"
"Alexei Kuzmichev",52,7.3,2015,"banking, telecom, retail"
"Jim Pattison",85,7.3,2014,"diversified"
"Michael Hartono",74,7.3,2014,"tobacco, banking"
"Uday Kotak",55,7.2,2015,"banking"
"Heinz Hermann Thiele & family",72,7.2,2014,"brakes"
"Suh Kyung-Bae",52,7.2,2015,"cosmetics"
"Jay Y. Lee",46,7.2,2015,"electronics/tourism"
"Johann Graf",67,7.2,2014,"gambling"
"Eli Broad",81,7.2,2015,"investments"
"Peter Woo & family",68,7.2,2014,"real estate"
"Charles Cadogan",77,7.2,2015,"real estate"
"Dietmar Hopp",74,7.2,2015,"software"
"He Xiangjian",71,7.1,2014,"appliances"
"Micky Arison",65,7.1,2015,"Carnival Cruises"
"Emmanuel Besnier",44,7.1,2015,"cheese"
"Kumar Birla",46,7,2014,"commodities"
"Graeme Hart",58,7,2014,"investments"
"Ralph Lauren",75,7,2015,"Ralph Lauren"
"Ralph Lauren",74,7,2014,"Ralph Lauren"
"Walter Kwok",64,7,2015,"real estate"
"Eyal Ofer",63,7,2014,"real estate, shipping"
"Dietmar Hopp",73,7,2014,"software"
"Richard DeVos",88,6.9,2014,"Amway"
"Wei Jianjun & family",50,6.9,2014,"automobiles"
"David Geffen",72,6.9,2015,"entertainment"
"Gordon Moore",86,6.9,2015,"Intel"
"Graeme Hart",59,6.9,2015,"investments"
"Eli Broad",80,6.9,2014,"investments"
"Suleiman Kerimov",48,6.9,2014,"investments"
"Yang Huiyan",32,6.9,2014,"real estate"
"Charles Cadogan & family",76,6.9,2014,"real estate"
"Wang Jing",42,6.9,2015,"telecom services"
"Dustin Moskovitz",29,6.8,2014,"Facebook"
"Chung Mong-Koo",75,6.8,2014,"Hyundai"
"Denis O'Brien",56,6.8,2015,"telecom"
"Jan Koum",38,6.8,2014,"WhatsApp"
"Jean-Claude Decaux",77,6.7,2015,"advertising"
"Maria-Elisabeth Schaeffler",73,6.7,2015,"ball bearings"
"Nassef Sawiris",53,6.7,2014,"construction"
"Nicky Oppenheimer",69,6.7,2015,"diamonds"
"Nicky Oppenheimer & family",68,6.7,2014,"diamonds"
"Reinhold Wuerth",79,6.7,2015,"fasteners"
"Vincent Bollore",62,6.7,2015,"investments"
"Rinat Akhmetov",48,6.7,2015,"steel, coal"
"Liu Yongxing",66,6.6,2015,"agribusiness"
"Gautam Adani",52,6.6,2015,"commodities, infrastructure"
"Johann Graf",68,6.6,2015,"gambling"
"Charles Johnson",82,6.6,2015,"money management"
"William Ding",43,6.6,2015,"online games"
"Takemitsu Takizaki",68,6.6,2014,"sensors"
"Sunil Mittal",57,6.6,2015,"telecom"
"Cyrus Poonawalla",73,6.6,2015,"vaccines"
"Jan Koum",39,6.6,2015,"WhatsApp"
"Oleg Deripaska",46,6.5,2014,"aluminum, utilities"
"Micky Arison",64,6.5,2014,"Carnival Cruises"
"James Packer",46,6.5,2014,"casinos"
"James Irving",86,6.5,2015,"diversified"
"Ken Griffin",46,6.5,2015,"hedge funds"
"Leonid Fedun",57,6.5,2014,"Lukoil"
"Carl Cook",52,6.5,2015,"medical devices"
"Stephen Ross",74,6.5,2015,"real estate"
"Quek Leng Chan",70,6.4,2014,"banking, real estate"
"Heinz Hermann Thiele",73,6.4,2015,"brakes"
"Pansy Ho",51,6.4,2014,"casinos"
"Charles Schwab",77,6.4,2015,"discount brokerage"
"Melker Schorling",67,6.4,2015,"investments"
"Richard LeFrak",69,6.4,2015,"real estate"
"Nassef Sawiris",54,6.3,2015,"construction"
"Sumner Redstone",91,6.3,2015,"media"
"Ivan Glasenberg",57,6.3,2014,"mining"
"Randa Williams",52,6.3,2014,"pipelines"
"Scott Duncan",31,6.3,2014,"pipelines"
"Milane Frantz",44,6.3,2014,"pipelines"
"Dannine Avara",50,6.3,2014,"pipelines"
"Herbert Kohler, Jr. & family",75,6.3,2014,"plumbing fixtures"
"Christoffel Wiese",73,6.3,2015,"retailing"
"Gianluigi & Rafaela Aponte",73,6.3,2014,"shipping"
"Stanley Kroenke",67,6.3,2015,"sports, real estate"
"Patrick Drahi",50,6.3,2014,"telecom"
"Sandra Ortega Mera",46,6.3,2015,"Zara"
"Oleg Deripaska",47,6.2,2015,"aluminum, utilities"
"S. Truett Cathy",93,6.2,2014,"Chick-Fil-A"
"Michael Kadoorie",73,6.2,2015,"diversified"
"Sumner Redstone",90,6.2,2014,"media"
"Rupert Johnson, Jr.",73,6.2,2015,"money management"
"Rupert Johnson, Jr.",72,6.2,2014,"money management"
"Curt Engelhorn",88,6.2,2015,"pharmaceuticals"
"Scott Duncan",32,6.2,2015,"pipelines"
"Milane Frantz",45,6.2,2015,"pipelines"
"Kelcy Warren",59,6.2,2015,"pipelines"
"Dannine Avara",51,6.2,2015,"pipelines"
"Hui Ka Yan",56,6.2,2015,"real estate"
"Lucio Tan & family",79,6.1,2014,"diversified"
"Terry Gou",64,6.1,2015,"electronics"
"Thomas Frist, Jr. & family",75,6.1,2014,"health care"
"Ira Rennert",80,6.1,2015,"investments"
"Hansjoerg Wyss",80,6.1,2015,"medical devices"
"Iskander Makhmudov",50,6.1,2014,"mining, metals, machinery"
"David Geffen",71,6.1,2014,"movies, music"
"Pyotr Aven",59,6.1,2014,"oil, banking, telecom"
"Randa Williams",53,6.1,2015,"pipelines"
"Richard LeFrak & family",68,6.1,2014,"real estate"
"Chan Laiwa",74,6.1,2015,"real estate"
"Sandra Ortega Mera & family",45,6.1,2014,"Zara"
"Filaret Galchev",50,6,2014,"construction materials"
"James Irving",85,6,2014,"diversified"
"Ira Rennert",79,6,2014,"investments"
"Patrizio Bertelli",68,6,2014,"luxury goods"
"Chan Laiwa & family",73,6,2014,"real estate"
"David Green",73,6,2015,"retail"
"Denis O'Brien",55,6,2014,"telecom"
"Bruno Schroder",82,5.9,2015,"banking"
"Dennis Washington",80,5.9,2015,"construction, mining"
"Lu Zhiqiang",62,5.9,2015,"diversified"
"Joseph Tsai",51,5.9,2015,"e-commerce"
"Jin Sook & Do Won Chang",60,5.9,2015,"fashion retail"
"Bruce Halle",84,5.9,2015,"tires"
"Loretta Robinson",75,5.8,2015,"cable tv"
"Pauline MacMillan Keinath",81,5.8,2015,"Cargill"
"Dennis Washington",79,5.8,2014,"construction, mining"
"Charles Schwab",76,5.8,2014,"discount brokerage"
"John Gokongwei, Jr.",87,5.8,2015,"diversified"
"Zhang Zhidong",43,5.8,2015,"internet media"
"Gayle Cook",80,5.8,2014,"medical devices"
