"person","age","networthb","time","industry"
"Tom Gores",50,3.2,2015,"private equity"
"Wang Wenxue",47,3.2,2015,"real estate"
"Jeff Sutton",55,3.2,2015,"real estate"
"Roger Wang",66,3.2,2015,"retail"
"Heidi Horten",73,3.2,2014,"retail"
"Christoffel Wiese",72,3.2,2014,"retailing"
"Victor Pinchuk",53,3.2,2014,"steel pipes, diversified"
"Zygmunt Solorz-Zak",58,3.2,2015,"TV broadcasting"
"Andre Esteves",45,3.1,2014,"banking"
"Jaime Gilinski Bacal",57,3.1,2015,"banking"
"Alexander Svetakov",46,3.1,2014,"banking, real estate"
"Alexander Svetakov",47,3.1,2015,"banking, real estate"
"Amos Hostetter, Jr.",78,3.1,2015,"cable television"
"Imogene Powers Johnson",85,3.1,2015,"cleaning products"
"H. Fisk Johnson",56,3.1,2015,"cleaning products"
"Helen Johnson-Leipold",58,3.1,2015,"cleaning products"
"S. Curtis Johnson",59,3.1,2015,"cleaning products"
"Winnie Johnson-Marquart",55,3.1,2015,"cleaning products"
"Jorge Perez",65,3.1,2015,"condos"
"Theo Mueller",74,3.1,2014,"dairy"
"Maria Helena Moraes Scripilliti",83,3.1,2014,"diversified"
"Mohamed Mansour",66,3.1,2014,"diversified"
"Antonio Ermirio de Moraes",85,3.1,2014,"diversified"
"Ermirio Pereira de Moraes",81,3.1,2014,"diversified"
"Syed Mokhtar Al-Bukhary",62,3.1,2014,"diversified"
"Shi Yuzhu",51,3.1,2014,"diversified"
"David Murdock",91,3.1,2015,"Dole, real estate"
"Stelios Haji-Ioannou",47,3.1,2014,"EasyJet"
"Issad Rebrab",71,3.1,2015,"food"
"Johan Johannson",48,3.1,2015,"grocery wholesaling"
"Judy Faulkner",70,3.1,2014,"health IT"
"John Kapoor",71,3.1,2015,"healthcare"
"Stanley Druckenmiller",60,3.1,2014,"hedge funds"
"Stanley Druckenmiller",61,3.1,2015,"hedge funds"
"Jay Robert (J.B.) Pritzker",49,3.1,2014,"hotels, investments"
"Anthony Pritzker",53,3.1,2014,"hotels, investments"
"Mohammed Al Issa",89,3.1,2014,"investments"
"Peter Kellogg",71,3.1,2014,"investments"
"Isaac Perlmutter",71,3.1,2014,"Marvel comics"
"Emilio Azcarraga Jean",47,3.1,2015,"media"
"Yu Yong",54,3.1,2015,"mining investments"
"John Catsimatidis",66,3.1,2015,"oil, real estate, supermarkets"
"Ray Davis",73,3.1,2015,"pipelines"
"Wang Yung-Tsai",93,3.1,2014,"Plastics"
"Daniel D'Aniello",67,3.1,2014,"private equity"
"David Rubenstein",64,3.1,2014,"private equity"
"William Conway, Jr.",64,3.1,2014,"private equity"
"Yitzhak Tshuva",65,3.1,2014,"real estate"
"Eddie & Sol Zakay",64,3.1,2015,"real estate"
"Eddie & Sol Zakay",63,3.1,2014,"real estate"
"Alfred Taubman",91,3.1,2015,"real estate"
"Huang Rulun",63,3.1,2015,"real estate"
"Roger Wang",65,3.1,2014,"retail"
"Tang Yiu",81,3.1,2015,"retail"
"Erivan Haub",82,3.1,2015,"retail"
"David Azrieli & family",91,3.1,2014,"shopping malls"
"Jean Pierre Cayard",72,3.1,2015,"Spirits"
"Jeremy Jacobs, Sr.",74,3.1,2014,"sports concessions"
"James Jannard",64,3.1,2014,"sunglasses"
"Naguib Sawiris",60,3.1,2015,"telecom"
"Najib Mikati",58,3.1,2014,"telecom"
"Taha Mikati",69,3.1,2014,"telecom"
"Archie Aldis Emmerson",84,3.1,2014,"timberland, lumber mills"
"Kevin Plank",42,3.1,2015,"Under Armour"
"Hans Peter Wild",72,3.1,2014,"Wild Flavors GmbH"
"Harry Stine",72,3,2014,"agriculture"
"Aloysio de Andrade Faria",94,3,2015,"banking"
"Amos Hostetter, Jr.",77,3,2014,"cable television"
"Lawrence Ho",37,3,2014,"casinos"
"James Leprino",76,3,2014,"cheese"
"James Leprino",77,3,2015,"cheese"
"Imogene Powers Johnson",84,3,2014,"cleaning products"
"H. Fisk Johnson",55,3,2014,"cleaning products"
"Helen Johnson-Leipold",57,3,2014,"cleaning products"
"S. Curtis Johnson",58,3,2014,"cleaning products"
"Winnie Johnson-Marquart",54,3,2014,"cleaning products"
"Yeoh Tiong Lay",85,3,2015,"construction, real estate"
"Jerry Jones",71,3,2014,"Dallas Cowboys"
"Lu Zhiqiang",61,3,2014,"diversified"
"Wang Yusuo & family",50,3,2014,"energy"
"Richard Tsai",57,3,2015,"finance"
"Daniel Tsai",58,3,2015,"finance"
"Husnu Ozyegin",69,3,2014,"finance, diversified"
"Robert Rich, Jr.",73,3,2014,"frozen foods"
"Charlotte Soderstrom",38,3,2015,"H&M"
"Karl-Johan Persson",39,3,2015,"H&M"
"Tom Persson",30,3,2015,"H&M"
"John Paul DeJoria",70,3,2014,"hair products, tequila"
"Paul Ramsay",78,3,2014,"health care"
"Kerr Neilson",64,3,2014,"investment"
"Wilbur Ross, Jr.",77,3,2015,"investments"
"Richard Chandler",56,3,2015,"investments"
"Friedhelm Loh",67,3,2014,"manufacturing"
"Indu Jain",78,3,2015,"media"
"Alexander Nesis",51,3,2014,"metals, banking, fertilizers"
"Min Kao",66,3,2015,"navigation equipment"
"David Rockefeller, Sr.",99,3,2015,"oil, banking"
"William Koch",74,3,2015,"oil, investments"
"John Catsimatidis",65,3,2014,"oil, real estate, supermarkets"
"Mark Cuban",56,3,2015,"online media"
"Anthony Pratt",53,3,2014,"packaging, recycling"
"Ye Chenghai",71,3,2015,"pharmaceuticals"
"Samuel Tak Lee",74,3,2014,"real estate"
"Neil Bluhm",77,3,2015,"real estate"
"Kushal Pal Singh",82,3,2014,"real estate"
"Jeff Greene",60,3,2015,"real estate, investments"
"Tang Yiu",80,3,2014,"retail"
"Edward Lampert",51,3,2014,"Sears"
"Michel Leclercq & family",74,3,2014,"sporting goods"
"Stephen Rubin",77,3,2015,"sports apparel"
"Peter Buck",83,3,2014,"Subway Restaurants"
"Fred DeLuca",66,3,2014,"Subway Restaurants"
"Shaul Shani",60,3,2015,"technology"
"Oprah Winfrey",61,3,2015,"television"
"Igor Kesaev",48,3,2015,"tobacco distribution, retail"
"Brian Acton",42,3,2014,"WhatsApp"
"Hans Peter Wild",73,3,2015,"Wild Flavors GmbH"
"Siegfried Meister",76,2.9,2015,"appliances"
"Andre Esteves",46,2.9,2015,"banking"
"Jaime Gilinski Bacal",56,2.9,2014,"banking"
"Walther Moreira Salles Junior",57,2.9,2014,"banking"
"Fernando Roberto Moreira Salles",67,2.9,2014,"banking, minerals"
"Joao Moreira Salles",52,2.9,2014,"banking, minerals"
"Pedro Moreira Salles",54,2.9,2014,"banking, minerals"
"Richard Schulze",74,2.9,2015,"Best Buy"
"Magdalena Martullo-Blocher",45,2.9,2014,"chemicals"
"Rahel Blocher",38,2.9,2014,"chemicals"
"Josephine Louis & family",84,2.9,2014,"cleaning products"
"Herbert Louis",85,2.9,2014,"cleaning products"
"Luciano Benetton",79,2.9,2015,"clothing, investments"
"Luciano Benetton",78,2.9,2014,"clothing, investments"
"Gilberto Benetton",72,2.9,2014,"clothing, investments"
"Gilberto Benetton",73,2.9,2015,"clothing, investments"
"Giuliana Benetton",76,2.9,2014,"clothing, investments"
"Giuliana Benetton",77,2.9,2015,"clothing, investments"
"Carlo Benetton",70,2.9,2014,"clothing, investments"
"Carlo Benetton",71,2.9,2015,"clothing, investments"
"Daniela Herz",61,2.9,2015,"coffee"
"Guenter Herz & Family",74,2.9,2015,"coffee"
"Giuseppe De'Longhi",75,2.9,2015,"coffee makers"
"Walter Scott, Jr.",82,2.9,2014,"construction, telecom"
"Youssef Mansour",69,2.9,2015,"diversified"
"Syed Mokhtar AlBukhary",63,2.9,2015,"diversified"
"Dirk Rossmann",68,2.9,2015,"drugstore chain"
"Wang Wenjing",50,2.9,2015,"enterprise software"
"John Fisher",53,2.9,2015,"Gap"
"John Fisher",52,2.9,2014,"Gap"
"David Cheriton",63,2.9,2015,"Google"
"John Arnold",40,2.9,2014,"hedge funds"
"Thomas Pritzker",63,2.9,2014,"hotels, investments"
"Shin Chang-Jae",61,2.9,2015,"insurance"
"Warren Stephens",58,2.9,2015,"investment banking"
"Farhad Moshiri",58,2.9,2014,"iron ore, steel, telecoms"
"Michael Pieper",68,2.9,2014,"kitchen appliances"
"Jack Dangermond",69,2.9,2015,"mapping software"
"Kalanithi Maran",49,2.9,2015,"media"
"Anil Agarwal",60,2.9,2014,"mining, metals"
"Kim Beom-su",48,2.9,2015,"mobile chat service"
"Robert Kraft",72,2.9,2014,"New England Patriots"
"David Rockefeller, Sr.",98,2.9,2014,"oil, banking"
"Daniel D'Aniello",68,2.9,2015,"private equity"
"David Rubenstein",65,2.9,2015,"private equity"
"Joshua Harris",49,2.9,2014,"private equity"
"Marc Rowan",52,2.9,2014,"private equity"
"William Conway, Jr.",65,2.9,2015,"private equity"
"Tom Gores",49,2.9,2014,"private equity"
"Samuel Tak Lee",75,2.9,2015,"real estate"
"Donald Sterling",79,2.9,2015,"real estate"
"Edwin Leong",63,2.9,2015,"real estate"
"Herbert Simon",80,2.9,2015,"real estate"
"Igor Olenicoff",71,2.9,2014,"real estate"
"John Whittaker",72,2.9,2015,"real estate"
"Michael Ying",64,2.9,2014,"retail"
"Edward Lampert",52,2.9,2015,"Sears"
"Xue Xiangdong",56,2.9,2015,"software"
"Oprah Winfrey",60,2.9,2014,"television"
"Sergio Mantegazza",87,2.9,2015,"travel"
"Evan Williams",42,2.9,2015,"Twitter"
"David Filo",47,2.9,2014,"Yahoo"
"Suh Kyung-Bae",51,2.8,2014,"Amorepacific"
"Vivek Chaand Sehgal",58,2.8,2015,"auto parts"
"Othman Benjelloun",81,2.8,2014,"banking, insurance"
"Mary Alice Dorrance Malone",64,2.8,2014,"Campbell Soup"
"Angela Leong",52,2.8,2014,"casinos"
"Gautam Adani",51,2.8,2014,"commodities, infrastructure"
"Erman Ilicak",46,2.8,2014,"construction"
"Ziyad Manasir",48,2.8,2014,"construction"
"Leandro Rizzuto & family",75,2.8,2014,"consumer products"
"Yang Kai",57,2.8,2014,"dairy products"
"Joan Tisch",88,2.8,2014,"diversified"
"Saleh Kamel",73,2.8,2015,"diversified"
"Dirk Rossmann",67,2.8,2014,"drugstore chain"
"Philippe Foriel-Destezet",78,2.8,2014,"employment agency"
"Peter Hargreaves",68,2.8,2015,"financial services"
"John Paul DeJoria",71,2.8,2015,"hair products, tequila"
"Judy Faulkner",71,2.8,2015,"health IT"
"Bernard Broermann",70,2.8,2014,"healthcare"
"Martin Naughton",75,2.8,2015,"heating equipment"
"Andreas Halvorsen",53,2.8,2015,"hedge funds"
"Prasert Prasarttong-Osoth",81,2.8,2015,"hospitals"
"Hui Lin Chit",61,2.8,2015,"hygiene products"
"Sze Man Bok",65,2.8,2015,"hygiene products"
"W. Herbert Hunt",85,2.8,2014,"Inheritance, oil, real estate"
"Qi Shi",45,2.8,2015,"internet portal"
"Wilbur Ross, Jr.",76,2.8,2014,"investments"
"Peter Sondakh",62,2.8,2014,"investments"
"Yvonne Bauer",37,2.8,2015,"media"
"Krit Ratanarak",67,2.8,2014,"media, real estate"
"Chen Fashu",54,2.8,2015,"mining, hypermarkets"
"John Caudwell",61,2.8,2014,"mobile phones"
"Ken Fisher",64,2.8,2015,"money management"
"Robert Bass",66,2.8,2014,"oil, investments"
"Patricia Matte",71,2.8,2015,"paper"
"Eliodoro Matte",69,2.8,2015,"paper"
"Bernardo Matte",59,2.8,2015,"paper"
"Wolfgang Marguerre",74,2.8,2015,"pharmaceuticals"
"Alexandra Schorghuber",55,2.8,2014,"real estate"
"Alfred Taubman",90,2.8,2014,"real estate"
"Huang Shih Tsai",63,2.8,2015,"real estate"
"Huang Rulun",62,2.8,2014,"real estate"
"Law Kar Po",67,2.8,2015,"real estate"
"Richard Rainwater",70,2.8,2015,"real estate, energy, insurance"
"Alexandre Soares dos Santos & family",79,2.8,2014,"retail"
"Abilio dos Santos Diniz",77,2.8,2014,"retail"
"Masahiro Miki",58,2.8,2014,"retail"
"Michael Ying",65,2.8,2015,"retail"
"Jimmy Haslam",61,2.8,2015,"retail"
"Chee Chen Tung & family",72,2.8,2014,"shipping"
"Edward DeBartolo, Jr.",67,2.8,2014,"shopping centers"
"Viktor Rashnikov",65,2.8,2014,"steel"
"Hortensia Herrero",64,2.8,2015,"supermarkets"
"Naguib Sawiris",59,2.8,2014,"telecom"
"Vladimir Yevtushenkov",66,2.8,2015,"telecom"
"Ma Jianrong",51,2.8,2015,"textiles, apparel"
"Lindsay Fox",77,2.8,2015,"transport"
"Michael Moritz",59,2.8,2014,"venture capital"
"Richard Chandler",55,2.75,2014,"investments"
"Liu Zhongtian",51,2.7,2015,"aluminum products"
"Lorenzo Mendoza",49,2.7,2015,"beverages"
"Elaine Wynn",70,2.7,2014,"casinos, hotels"
"Marie Besnier Beauvalot",33,2.7,2014,"cheese"
"Jean-Michel Besnier",46,2.7,2014,"cheese"
"Eva Maria Bucher-Haefner",58,2.7,2015,"Computer Associates"
"Eva Maria Bucher-Haefner",57,2.7,2014,"Computer Associates"
"Yeoh Tiong Lay",84,2.7,2014,"construction, real estate"
"Miguel Krigsner",64,2.7,2014,"cosmetics"
"Ronald McAulay",78,2.7,2015,"diversified"
"Dagmar Dolby & family",72,2.7,2014,"Dolby Laboratories"
"Liu Qiangdong",39,2.7,2014,"e-commerce"
"Philippe Foriel-Destezet",79,2.7,2015,"employment agency"
"Otto Happel",67,2.7,2015,"engineering"
"Tony Tan Caktiong",62,2.7,2015,"fast food"
"Husnu Ozyegin",70,2.7,2015,"finance, diversified"
"Bernard Broermann",71,2.7,2015,"healthcare"
"Law Kar Po",66,2.7,2014,"hotels"
"Friedhelm Loh",68,2.7,2015,"manufacturing"
"Patrice Motsepe",52,2.7,2014,"mining"
"Charles Dunstone",51,2.7,2015,"mobile phones"
"Wang Yusuo",50,2.7,2015,"natural gas distribution"
"Johan Johannson",47,2.7,2014,"NorgesGruppen, grocery wholesaling"
"George Bishop",78,2.7,2015,"oil & gas"
"Robert Bass",67,2.7,2015,"oil, investments"
"Michael Rubin",42,2.7,2015,"online retailing"
"Michael Rubin",41,2.7,2014,"online retailing"
"Stephen Bisciotti",54,2.7,2015,"outsourcing, football"
"Ye Chenghai & family",70,2.7,2014,"pharmaceuticals"
"David Bonderman",71,2.7,2014,"private equity"
"Joshua Harris",50,2.7,2015,"private equity"
"Hubert Burda",75,2.7,2015,"publishing"
"Tong Jinquan",59,2.7,2014,"real estate"
"Jeff Sutton",54,2.7,2014,"real estate"
"Qiu Guanghe & family",62,2.7,2014,"retail"
"Heidi Horten",74,2.7,2015,"retail"
"Hanni Toosbuy Kasprzak",56,2.7,2014,"shoes"
"Hanni Toosbuy Kasprzak",57,2.7,2015,"shoes"
"Ron Burkle",61,2.7,2014,"supermarkets, investments"
"Robert Pera",36,2.7,2014,"technology"
"Martin Haefner",61,2.7,2015,"technology, investments"
"A. Jerrold Perenchio",84,2.7,2015,"television, Univision"
"Jack Dorsey",38,2.7,2015,"Twitter"
"Michael Stoschek",67,2.6,2015,"autoparts"
"Bernard Saul, II.",82,2.6,2015,"banking, real estate"
"John Dorrance, III.",71,2.6,2015,"Campbell Soup"
"Anita Zucker",62,2.6,2014,"chemicals"
"William Wrigley, Jr.",51,2.6,2015,"chewing gum"
"Mochtar Riady",85,2.6,2015,"diversified"
"Semahat Sevim Arsel",86,2.6,2015,"diversified"
"Rajan Raheja",60,2.6,2015,"diversified"
"Vichai Srivaddhanaprabha",57,2.6,2015,"duty-free"
"Pan Zhengmin & family",44,2.6,2014,"electronics"
"Jason Chang",69,2.6,2014,"electronics"
"Baba Kalyani",66,2.6,2015,"engineering"
"Sean Parker",34,2.6,2014,"Facebook"
"Daniel Mate",50,2.6,2014,"Glencore International"
"Martin Viessmann",60,2.6,2014,"heating equipment"
"John Arnold",40,2.6,2015,"hedge funds"
"Edson de Godoy Bueno",70,2.6,2014,"hospitals, health care"
"Hui Lin Chit",61,2.6,2014,"hygiene products"
"Sze Man Bok",64,2.6,2014,"hygiene products"
"Patrick Ryan",77,2.6,2015,"insurance"
"Danil Khachaturov",42,2.6,2014,"insurance, banking, real estate"
"Herbert Allen, Jr. & family",74,2.6,2014,"investment banking"
"Kenneth Langone",79,2.6,2015,"investments"
"Carl Bennet",63,2.6,2015,"investments"
"H. Wayne Huizenga",77,2.6,2015,"investments"
"Emilio Azcarraga Jean",46,2.6,2014,"media"
"Reinhold Schmieding",59,2.6,2014,"medical devices"
"Vasily Anisimov",62,2.6,2014,"metals, real estate"
"Bulat Utemuratov",57,2.6,2015,"mining, banking, hotels"
"John Caudwell",62,2.6,2015,"mobile phones"
"Yasumitsu Shigeta",49,2.6,2014,"mobile telecom"
"Vladimir Bogdanov",62,2.6,2014,"oil"
"Torbjorn Tornqvist",60,2.6,2014,"oil trading"
"Mark Cuban",55,2.6,2014,"online media"
"Bharat Desai",62,2.6,2015,"Outsourcing"
"Patrick Lee",72,2.6,2014,"paper"
"David Bonderman",72,2.6,2015,"private equity"
"Leng Beng Kwek",74,2.6,2015,"real estate"
"Richard Rainwater",69,2.6,2014,"real estate, energy, insurance"
"Mortimer Zuckerman",77,2.6,2015,"real estate, media"
"Ty Warner",69,2.6,2014,"real estate, plush toys"
"Maria Luisa Solari Falabella & family",73,2.6,2014,"retail"
"Helmut Sohmen",74,2.6,2014,"shipping"
"Michel Leclercq",75,2.6,2015,"sporting goods"
"Ron Burkle",62,2.6,2015,"supermarkets, investments"
"A. Jerrold Perenchio",83,2.6,2014,"television, Univision"
"Michael Moritz",60,2.6,2015,"venture capital"
"Andrej Babis",60,2.5,2015,"agriculture"
"Valery Kogan",63,2.5,2014,"airport"
"Silas Chou",68,2.5,2015,"apparel"
"Siegfried Meister",76,2.5,2014,"appliances"
"Philip Niarchos",60,2.5,2014,"art collection"
"Philip Niarchos",61,2.5,2015,"art collection"
"Lu Xiangyang",52,2.5,2015,"automobiles, batteries"
"Alvaro Saieh Bendeck",65,2.5,2015,"banking"
"Ferit Faik Sahenk",50,2.5,2015,"banking, media"
"Dean White",91,2.5,2015,"billboards, hotels"
"John Dorrance, III.",70,2.5,2014,"Campbell Soup"
"Phillip Ruffin",79,2.5,2014,"casinos, real estate"
"Marie Besnier Beauvalot",34,2.5,2015,"cheese"
"Jean-Michel Besnier",47,2.5,2015,"cheese"
"William Wrigley, Jr.",50,2.5,2014,"chewing gum"
"Karen Johnson Boyd",90,2.5,2015,"cleaning products"
"Juan-Miguel Villar Mir",82,2.5,2014,"construction"
"Eduardo Belmont Anderson",68,2.5,2014,"cosmetics"
"Maria Helena Moraes Scripilliti",84,2.5,2015,"diversified"
"Madeleine Olsson Ericksson",69,2.5,2014,"diversified"
"Mustafa Rahmi Koc",84,2.5,2015,"diversified"
"Mochtar Riady & family",84,2.5,2014,"diversified"
"Ermirio Pereira de Moraes",82,2.5,2015,"diversified"
"Stefan Olsson",66,2.5,2015,"diversified"
"Stefan Olsson",65,2.5,2014,"diversified"
"Robert Miller",69,2.5,2015,"electronics components"
"Sean Parker",35,2.5,2015,"Facebook"
"William Erbey",64,2.5,2014,"finance"
"Pang Kang",58,2.5,2014,"flavorings"
"Teddy Sagi",42,2.5,2014,"gambling software"
"Carlos Sanchez",53,2.5,2015,"Generic drugs"
"Aristotelis Mistakidis",52,2.5,2014,"Glencore International"
"David Cheriton",62,2.5,2014,"Google"
"William Ackman",48,2.5,2015,"hedge funds"
"Daniel Loeb",53,2.5,2015,"hedge funds"
"Arthur Blank",72,2.5,2015,"Home Depot"
"Penny Pritzker",55,2.5,2015,"hotels, investments"
"Jean (Gigi) Pritzker",53,2.5,2015,"hotels, investments"
"Ennio Doris & family",73,2.5,2014,"insurance"
"Warren Stephens",57,2.5,2014,"investment banking"
"Michael Milken",68,2.5,2015,"investments"
"Michael Milken",67,2.5,2014,"investments"
"Alexander Mamut",55,2.5,2015,"investments"
"H. Wayne Huizenga",76,2.5,2014,"investments"
"Henry Hillman",96,2.5,2015,"investments"
"Henry Hillman",95,2.5,2014,"investments"
"Sebastian Pinera",65,2.5,2015,"investments"
"Jack Dangermond",68,2.5,2014,"mapping software"
"Alexander Nesis",52,2.5,2015,"metals, banking, fertilizers"
"Dan Gertler",40,2.5,2014,"mining"
"Charles Dunstone",50,2.5,2014,"mobile phones"
"Rahul Bajaj",76,2.5,2015,"motorcycles"
"Shigenobu Nagamori",69,2.5,2014,"motors"
"Min Kao",65,2.5,2014,"navigation equipment"
"Folorunsho Alakija",63,2.5,2014,"oil"
"Timothy Headington",63,2.5,2014,"oil & gas, investments"
"Denise Coates",47,2.5,2015,"online gambling"
"Jose Luis Cutrale",68,2.5,2015,"orange juice"
"Patricia Matte",70,2.5,2014,"paper"
"Eliodoro Matte",68,2.5,2014,"paper"
"Bernardo Matte",58,2.5,2014,"paper"
"Marc Rowan",53,2.5,2015,"private equity"
"Hubert Burda",74,2.5,2014,"publishing"
"Yoshiko Mori",74,2.5,2015,"real estate"
"Neil Bluhm",76,2.5,2014,"real estate"
"Jeff Greene",59,2.5,2014,"real estate, investments"
"Clive Calder",67,2.5,2014,"record label"
"Clive Calder",68,2.5,2015,"record label"
"Tilman Fertitta",57,2.5,2015,"restaurants, casinos"
"Alain Bouchard",66,2.5,2015,"retail"
"Belmiro de Azevedo",76,2.5,2014,"retail"
"Bernd Freier",57,2.5,2014,"retail"
"M.A. Yusuff Ali",59,2.5,2015,"retail"
"B. Wayne Hughes",81,2.5,2015,"self storage"
"Kjell Inge Rokke",55,2.5,2014,"shipping, seafood"
"Alexandre Grendene Bartelle",65,2.5,2015,"shoes"
"Chey Tae-Won",53,2.5,2014,"SK"
"Romesh T. Wadhwani",67,2.5,2015,"software"
"William Fung",65,2.5,2014,"sourcing"
"Howard Schultz",61,2.5,2015,"Starbucks"
"Francisco Jose Riberas Mera",49,2.5,2014,"steel"
"Fred DeLuca",67,2.5,2015,"Subway sandwich shops"
"Peter Buck",84,2.5,2015,"Subway sandwich shops"
"Dan Friedkin",49,2.5,2014,"Toyota distribution"
"Andrej Babis",59,2.4,2014,"agriculture"
"Silas Chou",67,2.4,2014,"apparel"
"Esther Grether & family",78,2.4,2014,"art collection, Swatch"
"Li Shufu",51,2.4,2015,"automobiles"
"Louis Le Duff",67,2.4,2014,"bakeries"
"Carlos Hank Rhon",67,2.4,2015,"banking"
"Spiro Latsis",68,2.4,2015,"banking, shipping"
"Ingeburg Herz",93,2.4,2015,"coffee"
"Ingeburg Herz",92,2.4,2014,"coffee"
"Ravi Pillai",61,2.4,2015,"construction"
"Sarik Tara",84,2.4,2015,"construction"
"Onsi Sawiris",84,2.4,2014,"construction, telecom"
"Rishad Naoroji",63,2.4,2015,"consumer goods"
"Arne Wilhelmsen",84,2.4,2015,"cruise ships"
"Kwek Leng Beng & family",73,2.4,2014,"diversified"
"Saleh Kamel",72,2.4,2014,"diversified"
"Erwin Franz Mueller",82,2.4,2015,"drug stores"
"Robert McNair",78,2.4,2015,"energy, sports"
"Leszek Czarnecki",52,2.4,2014,"finance"
"Stephen Lansdown",61,2.4,2014,"financial services"
"James Dinan",55,2.4,2015,"hedge funds"
"Edson de Godoy Bueno",71,2.4,2015,"hospitals, health care"
"Juan Abello",72,2.4,2014,"investments"
"Sebastian Pinera",64,2.4,2014,"investments"
"Ken Fisher",63,2.4,2014,"money management"
"Brijmohan Lall Munjal",90,2.4,2014,"motorcycles"
"Rodney Lewis",60,2.4,2014,"natural gas"
"Liang Yunchao",45,2.4,2014,"nutrition supplements"
"Timothy Headington",64,2.4,2015,"oil & gas, investments"
"Mikhail Gutseriev",56,2.4,2015,"oil, real estate"
"Barry Diller",72,2.4,2014,"online media"
"Bharat Desai & family",61,2.4,2014,"Outsourcing"
"Ashwin Dani",72,2.4,2015,"paints"
"Patrick Lee",73,2.4,2015,"paper"
"Tom Golisano",73,2.4,2015,"payroll services"
"Pankaj Patel",60,2.4,2014,"pharmaceuticals"
"Jean Coutu",87,2.4,2015,"pharmacies"
"Alexander Ponomarenko",50,2.4,2015,"port"
"Alexander Skorobogatko",47,2.4,2015,"port"
"Glen Taylor",73,2.4,2015,"printing"
"Richard Desmond",62,2.4,2014,"publishing"
"Edwin Leong",62,2.4,2014,"real estate"
"Henry Fong Yun Wah",89,2.4,2014,"real estate"
"Alexandra Schorghuber",56,2.4,2015,"real estate"
"Manuel Jove",72,2.4,2014,"real estate"
"George Argyros",77,2.4,2014,"real estate, investments"
"Mortimer Zuckerman",76,2.4,2014,"real estate, media"
"Ty Warner",70,2.4,2015,"real estate, plush toys"
"Tilman Fertitta",56,2.4,2014,"restaurants, casinos"
"Maria Luisa Solari Falabella",74,2.4,2015,"retail"
"Lawrence Stroll",55,2.4,2015,"retail"
"Lawrence Stroll",54,2.4,2014,"retail"
"Maja Oeri",59,2.4,2014,"Roche Holding"
"Henry Samueli",60,2.4,2015,"semiconductors"
"Chang Yun Chung",96,2.4,2015,"shipping"
"Carlos Ardila Lulle",83,2.4,2014,"soft drinks, diversified"
"Ma Jianrong & family",50,2.4,2014,"textiles, apparel"
"Kevin Plank",41,2.4,2014,"Under Armour"
"Nicholas Woodman",39,2.4,2015,"video cameras"
"Peter Lim",60,2.35,2014,"investments"
"Song Zuowen",67,2.3,2015,"aluminum, diversified"
"Don Hankey",71,2.3,2015,"auto loans"
"James France",69,2.3,2014,"auto racing"
"George Ty & family",81,2.3,2014,"banking"
"Othman Benjelloun",82,2.3,2015,"banking, insurance"
"Henadiy Boholyubov",52,2.3,2014,"banking, investments"
"Bernard Saul, II.",81,2.3,2014,"banking, real estate"
"Thomas Siebel",62,2.3,2015,"business software"
"Bennett Dorrance",69,2.3,2015,"Campbell Soup"
"Huo Qinghua",53,2.3,2015,"coal"
"Alicia Koplowitz",60,2.3,2015,"construction, investments"
"Miguel Krigsner",65,2.3,2015,"cosmetics"
"Stanley Hubbard",80,2.3,2014,"DirecTV"
"Chen Fashu",53,2.3,2014,"diversified"
"Yasseen Mansour",53,2.3,2015,"diversified"
"Youssef Mansour",68,2.3,2014,"diversified"
"David Murdock",90,2.3,2014,"Dole, real estate"
"Jia Yueting",41,2.3,2014,"entertainment"
"Wang Changtian",48,2.3,2014,"entertainment"
"Vyacheslav Kantor",61,2.3,2015,"fertilizer, real estate"
"Julio Ponce",68,2.3,2014,"fertilizers"
"Tsai Hong-tu",62,2.3,2015,"finance"
"Caprotti Bernardo",88,2.3,2014,"grocery stores"
"Stephen Mandel, Jr.",58,2.3,2015,"hedge funds"
"Richard Marriott",75,2.3,2014,"hotels"
"Penny Pritzker",54,2.3,2014,"hotels, investments"
"Jean (Gigi) Pritzker",52,2.3,2014,"hotels, investments"
"Kenneth Langone",78,2.3,2014,"investments"
"Ke Xiping",54,2.3,2015,"investments"
"Michal Solowow",51,2.3,2014,"investments"
"Alexander Mamut",54,2.3,2014,"investments"
"Chen Jinxia",46,2.3,2015,"investments"
"Bill Gross",69,2.3,2014,"investments"
"Bill Gross",70,2.3,2015,"investments"
"Clemmie Spangler, Jr.",82,2.3,2015,"investments"
"Clemmie Spangler, Jr.",81,2.3,2014,"investments"
"Peter Sondakh",63,2.3,2015,"investments"
"Charles Bronfman",83,2.3,2015,"liquor"
"Indu Jain",77,2.3,2014,"media"
"Koos Bekker",62,2.3,2015,"media, investments"
"Jean Claude Gandur",65,2.3,2014,"oil trading, exploration"
"Barry Diller",73,2.3,2015,"online media"
"Khoon Hong Kuok",65,2.3,2015,"palm oil"
"Kuok Khoon Hong",64,2.3,2014,"palm oil"
"Randall Rollins",83,2.3,2015,"pest control"
"Gary Rollins",70,2.3,2015,"pest control"
"P.V. Ramprasad Reddy",56,2.3,2015,"pharmaceuticals"
"Robert Duggan",70,2.3,2015,"pharmaceuticals"
"Xu Jingren & family",69,2.3,2014,"pharmaceuticals"
